word,n
date,6
debit,6
delish,6
deliver,6
design,6
difference,6
dipping,6
dollars,6
efficient,6
exception,6
extensive,6
eye,6
fall,6
fare,6
favorites,6
filet,6
fill,6
final,6
foods,6
forget,6
fu,6
gai,6
gelato,6
girl,6
grocery,6
hair,6
hands,6
hang,6
hear,6
heat,6
homemade,6
imagine,6
impressive,6
island,6
judge,6
kimchi,6
lettuce,6
literally,6
lounge,6
luckily,6
machine,6
meant,6
mins,6
mitchell's,6
move,6
movie,6
myun,6
nca,6
noise,6
northern,6
omg,6
opinion,6
originally,6
overpriced,6
oysters,6
palace,6
paper,6
par,6
parents,6
paying,6
peanut,6
picked,6
picky,6
picture,6
pictures,6
pink,6
polite,6
popular,6
positive,6
poultine,6
range,6
rating,6
ratio,6
refilled,6
remind,6
request,6
reservation,6
result,6
rush,6
saturday,6
sausage,6
sea,6
shocked,6
siu,6
soya,6
spa,6
spaghetti,6
spending,6
spent,6
split,6
strong,6
students,6
summer,6
supposed,6
suspect,6
taco,6
tagine,6
takes,6
talk,6
tempura,6
thin,6
tso's,6
update,6
vinegar,6
walking,6
window,6
yelpers,6
yuck,6
abdul,5
adding,5
america,5
asians,5
auch,5
authenticity,5
avocado,5
bag,5
bakery,5
ball,5
bao,5
bay,5
beers,5
bigger,5
bold,5
bottle,5
bottom,5
break,5
bucks,5
cafe,5
canadian,5
carb,5
caribbean,5
casual,5
chair,5
checked,5
checking,5
chefs,5
chunks,5
class,5
classic,5
cleanliness,5
closest,5
comparable,5
compare,5
complete,5
consistently,5
cookie,5
country,5
crap,5
crave,5
cravings,5
crepes,5
crust,5
culinary,5
culture,5
daily,5
dark,5
das,5
delight,5
delivers,5
desert,5
didnt,5
disappointment,5
disgusting,5
distance,5
donuts,5
dozen,5
dropped,5
earlier,5
entered,5
everyday,5
exceptional,5
experienced,5
eyes,5
factor,5
families,5
famous,5
fans,5
feels,5
fell,5
fishy,5
fit,5
fluffy,5
foo,5
foodies,5
foot,5
fortune,5
future,5
gold,5
golden,5
goodness,5
gorgeous,5
gow,5
graeter's,5
granted,5
gravy,5
greens,5
greeted,5
grilled,5
growing,5
guest,5
hell,5
hey,5
ho,5
im,5
includes,5
issues,5
ive,5
joints,5
kenzo's,5
key,5
lacking,5
larger,5
learn,5
learned,5
leaves,5
liquid,5
living,5
locations,5
loud,5
loves,5
lower,5
lunar,5
manner,5
market,5
markham,5
mayo,5
meaty,5
meet,5
memorable,5
mention,5
mentioned,5
mess,5
mini,5
miso,5
miss,5
mom,5
moment,5
monday,5
moo,5
moroccan,5
moved,5
msg,5
multiple,5
notch,5
office,5
opportunity,5
outstanding,5
owned,5
pack,5
page,5
park,5
partner,5
picking,5
platter,5
play,5
pomo,5
potatoes,5
prime,5
prior,5
products,5
putting,5
quantity,5
rangoon,5
rated,5
realize,5
regulars,5
reminds,5
returning,5
reviewers,5
ridiculously,5
running,5
sadly,5
salmon,5
sampled,5
san,5
sandwich,5
save,5
savory,5
score,5
seats,5
sense,5
setting,5
shell,5
sick,5
sizzling,5
skills,5
slow,5
son,5
southern,5
spare,5
specialty,5
specifically,5
spots,5
square,5
standards,5
staple,5
stayed,5
staying,5
stood,5
straight,5
sweetness,5
taiwanese,5
takeaway,5
tend,5
terrible,5
thinking,5
tiny,5
tso,5
tuesday,5
upscale,5
venue,5
verdict,5
visits,5
waitresses,5
walnut,5
wasabi,5
workers,5
worthy,5
writing,5
written,5
yeah,5
aber,4
additional,4
adventurous,4
allowed,4
answer,4
anymore,4
appointment,4
awkward,4
ayce,4
baby,4
banquet,4
batter,4
bibimbap,4
bites,4
bits,4
body,4
bok,4
book,4
boring,4
bottles,4
boxes,4
boy,4
bright,4
bringing,4
brings,4
btw,4
budget,4
bulgogi,4
car,4
cares,4
cashew,4
chain,4
chance,4
chang's,4
changs,4
cheesecake,4
chew,4
chicago,4
child,4
chips,4
choy,4
christmas,4
clams,4
cocktail,4
comment,4
community,4
complain,4
convenient,4
cookies,4
cooks,4
cosmopolitan,4
couples,4
cozy,4
crowd,4
cubes,4
cute,4
darn,4
daughter,4
de,4
depending,4
descent,4
deserves,4
dined,4
diner,4
dinners,4
disappoint,4
dive,4
dollar,4
dont,4
donut,4
driving,4
easier,4
edible,4
effort,4
eggroll,4
elegant,4
enjoying,4
equally,4
es,4
eventually,4
experiences,4
fabulous,4
father,4
fav,4
feed,4
filthy,4
fingers,4
fix,4
flaky,4
flavourful,4
fork,4
fountain,4
francisco,4
frequently,4
frustrating,4
gardens,4
generously,4
gentleman,4
girlfriend,4
girls,4
gonna,4
gotta,4
grateful,4
handmade,4
har,4
hearts,4
helping,4
hold,4
hong,4
hotels,4
hubby,4
hundreds,4
iced,4
ich,4
ideas,4
imo,4
impossible,4
incredibly,4
instantly,4
jajangmyun,4
jia,4
job,4
juices,4
justify,4
kindergarten,4
knock,4
kong,4
koreans,4
laid,4
lan,4
language,4
lastly,4
lighting,4
lightly,4
lit,4
magic,4
managed,4
management,4
melted,4
mien,4
minced,4
mint,4
minus,4
mississauga,4
mistake,4
mother,4
mustard,4
nachos,4
napkins,4
nasty,4
necessarily,4
normal,4
notable,4
nuggets,4
nyc,4
o'donnell's,4
odd,4
offerings,4
online,4
overcooked,4
parties,4
passed,4
patrons,4
peas,4
photo,4
playing,4
pleased,4
plentiful,4
pods,4
posted,4
poutine,4
prawn,4
preparation,4
preserved,4
pressure,4
print,4
proceeded,4
prompt,4
promptly,4
properly,4
provide,4
provided,4
pu,4
punch,4
quart,4
questions,4
random,4
reasons,4
reception,4
recommendation,4
refreshing,4
refused,4
regret,4
renovated,4
repeat,4
respect,4
restrooms,4
returned,4
sandwiches,4
satisfy,4
satisfying,4
saving,4
scallop,4
scottsdale,4
seared,4
selling,4
separate,4
sf,4
shaanxi,4
shanghai,4
sharing,4
shiu,4
signs,4
sizes,4
skeptical,4
slight,4
smelling,4
smoke,4
smooth,4
smoothie,4
soda,4
sold,4
sounds,4
spadina,4
speaks,4
specific,4
spectacular,4
spiciness,4
spinach,4
squid,4
standing,4
starch,4
stations,4
steaming,4
stellar,4
stew,4
sticks,4
stingy,4
stock,4
stores,4
strange,4
strawberry,4
strips,4
sun,4
syrup,4
tad,4
tasteless,4
ten,4
tokyo,4
tour,4
treat,4
tv,4
typically,4
und,4
uuu,4
varied,4
wah,4
waitstaff,4
walls,4
warning,4
watched,4
weekday,4
wide,4
winner,4
worry,4
wraps,4
xo,4
zu,4
access,3
accurate,3
adjustments,3
advance,3
advantage,3
age,3
agree,3
ahead,3
alas,3
albeit,3
almond,3
aloha,3
anytime,3
appeared,3
arranged,3
art,3
arts,3
aspect,3
attended,3
auf,3
avoided,3
aware,3
bacchanal,3
bakeries,3
bam,3
bamboo,3
banchan,3
bank,3
bare,3
basil,3
bathrooms,3
bed,3
begin,3
bellagio,3
benches,3
bi,3
biggest,3
birthdays,3
bistro,3
blah,3
bloody,3
blow,3
blue,3
bonus,3
booze,3
brand,3
breading,3
breast,3
brother,3
brulee,3
bubble,3
buds,3
building,3
burgers,3
burrito,3
butcher,3
buttery,3
buzz,3
cakes,3
calm,3
canned,3
caramelized,3
carbs,3
cared,3
carrot,3
cashier,3
ceiling,3
celery,3
challenge,3
chances,3
chandelier,3
chandler,3
chang,3
cheapest,3
cheesy,3
chef's,3
cheng,3
chives,3
cirque,3
claws,3
cleaning,3
cleveland,3
closing,3
coast,3
coat,3
colleagues,3
college,3
combinations,3
complex,3
confused,3
cons,3
costs,3
crayfish,3
created,3
credit,3
creme,3
crispier,3
crowds,3
cucumber,3
curious,3
current,3
cuz,3
dated,3
deals,3
decently,3
decisions,3
decoration,3
den,3
depth,3
description,3
detail,3
devoured,3
diet,3
dingy,3
dip,3
discovered,3
dispenser,3
dog,3
doughy,3
